team,conference,sos,osrs,dsrs,srs,year
Idaho,WAC,-0.15,-3.03,2.47,-0.56,2009
Little Rock,Sun Belt (West),-3.72,-2.83,2.17,-0.66,2009
Robert Morris,NEC,-5.23,-0.32,-0.38,-0.7,2009
Drexel,CAA,-1.28,-6.54,5.74,-0.8,2009
Boise State,WAC,0.54,2.98,-3.93,-0.95,2009
James Madison,CAA,-2.91,0.57,-1.71,-1.14,2009
North Texas,Sun Belt (West),-2.77,6.63,-7.77,-1.14,2009
Colorado State,MWC,3.88,3.85,-5.01,-1.16,2009
DePaul,Big East,6.88,-1.13,-0.08,-1.21,2009
Tulane,CUSA,0.9,-3.56,2.26,-1.3,2009
Middle Tennessee,Sun Belt (East),-2.78,-2.65,1.34,-1.32,2009
College of Charleston,Southern (South),-5.87,4.85,-6.18,-1.33,2009
Mount St. Mary's,NEC,-5.78,-3.71,2.24,-1.47,2009
Ohio,MAC (East),-1.4,-2.07,0.51,-1.56,2009
Cal State Long Beach,Big West,-0.27,2.49,-4.06,-1.57,2009
UC Santa Barbara,Big West,-1.1,-3.7,1.96,-1.74,2009
Georgia,SEC (East),5.5,-1.88,0.07,-1.81,2009
Missouri State,MVC,1.9,-5.47,3.57,-1.9,2009
Indiana,Big Ten,8.98,-2.81,0.78,-2.03,2009
George Washington,A-10,0.31,-2.55,0.47,-2.08,2009
Fairfield,MAAC,-0.44,-2.91,0.62,-2.29,2009
Morgan State,MEAC,-6.53,-4.34,2.05,-2.29,2009
UT Arlington,Southland (West),-3.37,6.16,-8.53,-2.37,2009
Louisiana Tech,WAC,-1.98,-5.44,3.06,-2.38,2009
Hawaii,WAC,-1.34,-5.23,2.72,-2.51,2009
St. Bonaventure,A-10,-1.12,1.64,-4.21,-2.57,2009
Lipscomb,A-Sun,-3.49,3.39,-5.97,-2.58,2009
Boston University,AEC,-4.91,-1.11,-1.5,-2.61,2009
South Alabama,Sun Belt (East),-3.75,-2.83,0.21,-2.62,2009
Rider,MAAC,-2.98,2.95,-5.57,-2.63,2009
San Jose State,WAC,0.44,1.04,-3.68,-2.64,2009
Eastern Kentucky,OVC,-5.45,-1.24,-1.57,-2.82,2009
IUPUI,Summit,-2.51,-5.4,2.49,-2.92,2009
Montana,Big Sky,-3.53,-5.79,2.87,-2.92,2009
Air Force,MWC,2.37,-11.05,8.06,-2.99,2009
East Carolina,CUSA,1.26,4.2,-7.2,-3.0,2009
Nicholls State,Southland (East),-4.08,-7.82,4.74,-3.08,2009
Morehead State,OVC,-3.61,-2.83,-0.31,-3.14,2009
Idaho State,Big Sky,0.17,-2.58,-0.64,-3.22,2009
Iona,MAAC,-2.37,-6.2,2.96,-3.24,2009
Binghamton,AEC,-5.62,-0.42,-2.85,-3.27,2009
Southern Methodist,CUSA,3.62,-3.37,0.11,-3.27,2009
VMI,Big South,-7.49,19.22,-22.52,-3.3,2009
Indiana State,MVC,2.04,-2.8,-0.59,-3.38,2009
Hofstra,CAA,-2.9,-2.75,-0.67,-3.42,2009
Texas A&M-Corpus Christi,Southland (West),-1.46,-3.31,-0.18,-3.49,2009
Holy Cross,Patriot,-5.91,-5.27,1.71,-3.56,2009
Troy,Sun Belt (East),-4.22,7.12,-10.76,-3.64,2009
Manhattan,MAAC,-3.4,-4.54,0.45,-4.09,2009
Fresno State,WAC,0.96,-0.25,-3.86,-4.11,2009
UC Davis,Big West,-3.4,3.5,-7.63,-4.13,2009
Austin Peay,OVC,-3.69,3.94,-8.14,-4.2,2009
Cal State Fullerton,Big West,-1.26,2.36,-6.55,-4.2,2009
Sacred Heart,NEC,-6.85,2.18,-6.58,-4.4,2009
Valparaiso,Horizon,2.22,-5.52,1.09,-4.43,2009
The Citadel,Southern (South),-5.98,-5.2,0.73,-4.48,2009
Radford,Big South,-4.37,1.05,-5.6,-4.55,2009
Northern Colorado,Big Sky,-3.64,0.44,-5.02,-4.57,2009
Denver,Sun Belt (West),-4.97,-10.69,6.11,-4.58,2009
UTSA,Southland (West),-4.17,1.26,-5.93,-4.67,2009
Texas State,Southland (West),-3.93,6.9,-11.64,-4.73,2009
Stony Brook,AEC,-6.49,-5.93,1.11,-4.82,2009
Delaware,CAA,-2.64,0.08,-4.91,-4.83,2009
Lamar,Southland (West),-1.04,0.18,-5.18,-5.0,2009
Rice,CUSA,3.18,-4.39,-0.66,-5.05,2009
UC Riverside,Big West,-3.76,-9.93,4.7,-5.22,2009
Youngstown State,Horizon,-0.11,-1.56,-3.69,-5.25,2009
Navy,Patriot,-7.68,0.38,-5.72,-5.35,2009
Liberty,Big South,-5.49,0.91,-6.29,-5.39,2009
Arkansas State,Sun Belt (West),-4.31,-5.97,0.55,-5.42,2009
Purdue-Fort Wayne,Summit,-0.64,-2.7,-2.72,-5.42,2009
Southern Utah,Summit,-2.12,-5.32,-0.12,-5.44,2009
McNeese State,Southland (East),-3.99,-7.59,2.12,-5.47,2009
Ball State,MAC (West),-3.02,-10.21,4.71,-5.5,2009
Loyola (IL),Horizon,-0.67,-5.32,-0.18,-5.51,2009
Loyola (MD),MAAC,-0.65,-1.69,-3.96,-5.65,2009
Western Michigan,MAC (West),-3.19,-5.64,-0.05,-5.69,2009
UC Irvine,Big West,-1.8,-3.73,-2.08,-5.8,2009
South Dakota State,Summit,-1.45,-0.78,-5.05,-5.83,2009
San Francisco,WCC,0.3,-0.69,-5.22,-5.91,2009
Chicago State,Ind,-4.51,7.96,-13.93,-5.97,2009
William & Mary,CAA,-2.79,-8.73,2.77,-5.97,2009
Alabama State,SWAC,-11.2,-5.83,-0.3,-6.13,2009
Georgia State,CAA,-1.83,-9.1,2.98,-6.13,2009
Northern Arizona,Big Sky,-1.7,-4.02,-2.12,-6.14,2009
Southeastern Louisiana,Southland (East),-2.89,-4.67,-1.55,-6.22,2009
Chattanooga,Southern (North),-3.13,3.75,-10.0,-6.25,2009
Louisiana,Sun Belt (West),-2.23,-2.57,-3.73,-6.3,2009
Montana State,Big Sky,-2.45,-2.97,-3.42,-6.38,2009
Canisius,MAAC,-1.68,-6.14,-0.31,-6.46,2009
Albany (NY),AEC,-4.11,-6.44,-0.19,-6.63,2009
Tennessee Tech,OVC,-4.68,1.3,-7.94,-6.64,2009
Stetson,A-Sun,1.17,-2.33,-4.56,-6.88,2009
Long Island University,NEC,-8.63,0.09,-7.01,-6.92,2009
Wofford,Southern (South),-5.45,-3.52,-3.52,-7.04,2009
Central Michigan,MAC (West),-4.15,-6.13,-0.93,-7.06,2009
Mercer,A-Sun,0.12,1.44,-8.54,-7.1,2009
Eastern Washington,Big Sky,-1.81,-6.35,-0.78,-7.13,2009
Western Carolina,Southern (North),-5.13,-0.6,-6.57,-7.17,2009
Marist,MAAC,-1.85,-4.47,-2.78,-7.24,2009
Yale,Ivy,-5.17,-7.61,0.32,-7.29,2009
Towson,CAA,-1.27,-1.61,-5.69,-7.3,2009
Harvard,Ivy,-6.05,-1.74,-5.82,-7.57,2009
Florida International,Sun Belt (East),-1.52,-6.35,-1.37,-7.71,2009
Pennsylvania,Ivy,-3.33,-2.97,-4.81,-7.78,2009
Princeton,Ivy,-7.66,-13.55,5.74,-7.82,2009
Campbell,A-Sun,-3.42,-3.78,-4.19,-7.97,2009
Detroit Mercy,Horizon,0.65,-9.76,1.69,-8.08,2009
Jacksonville State,OVC,-4.78,-4.15,-4.06,-8.2,2009
Samford,Southern (North),-6.38,-11.86,3.58,-8.28,2009
Lehigh,Patriot,-8.28,-5.81,-2.5,-8.31,2009
Cal Poly,Big West,-1.32,-3.91,-4.41,-8.32,2009
Gardner-Webb,Big South,-5.04,0.03,-8.36,-8.32,2009
Saint Peter's,MAAC,-3.43,-10.71,2.32,-8.39,2009
Appalachian State,Southern (North),-5.44,3.2,-11.64,-8.44,2009
Centenary (LA),Summit,-1.56,-6.44,-2.03,-8.46,2009
Maryland-Baltimore County,AEC,-4.16,-4.06,-4.68,-8.74,2009
Quinnipiac,NEC,-8.57,-5.81,-3.35,-9.16,2009
Eastern Illinois,OVC,-5.47,-8.8,-0.38,-9.18,2009
New Hampshire,AEC,-5.57,-9.45,0.05,-9.4,2009
Jackson State,SWAC,-8.22,-2.36,-7.14,-9.5,2009
Coppin State,MEAC,-4.59,-6.2,-3.36,-9.56,2009
Florida Atlantic,Sun Belt (East),-2.1,-3.59,-6.1,-9.68,2009
New Orleans,Sun Belt (West),-4.08,-9.23,-0.55,-9.79,2009
Columbia,Ivy,-6.46,-11.08,1.17,-9.92,2009
Northern Illinois,MAC (West),-5.13,-2.75,-7.25,-10.0,2009
Army,Patriot,-7.59,-12.96,2.86,-10.11,2009
Kansas City,Summit,-1.25,-3.88,-6.23,-10.11,2009
South Carolina State,MEAC,-9.47,-3.93,-6.38,-10.31,2009
Central Connecticut State,NEC,-6.76,-6.82,-3.53,-10.35,2009
Wagner,NEC,-8.6,-4.45,-5.94,-10.39,2009
Toledo,MAC (West),-0.96,-8.48,-2.0,-10.48,2009
Hampton,MEAC,-7.58,-13.75,2.96,-10.79,2009
Tennessee State,OVC,-4.47,-0.29,-10.5,-10.79,2009
Western Illinois,Summit,-4.04,-12.68,1.82,-10.86,2009
Pepperdine,WCC,1.88,-7.04,-4.19,-11.23,2009
Maine,AEC,-4.4,-5.53,-5.81,-11.33,2009
UNC Asheville,Big South,-4.19,0.07,-11.41,-11.34,2009
Winthrop,Big South,-4.54,-12.42,0.96,-11.46,2009
Bucknell,Patriot,-4.12,-4.71,-6.87,-11.59,2009
Eastern Michigan,MAC (West),-1.79,-12.37,0.68,-11.69,2009
Coastal Carolina,Big South,-6.98,-5.66,-6.08,-11.74,2009
Louisiana-Monroe,Sun Belt (West),-3.2,-3.87,-7.88,-11.75,2009
Elon,Southern (North),-4.62,-7.95,-4.01,-11.97,2009
Longwood,Ind,-6.51,2.36,-14.74,-12.38,2009
Brown,Ivy,-5.02,-7.86,-4.53,-12.39,2009
Bethune-Cookman,MEAC,-9.76,-15.96,3.55,-12.41,2009
Prairie View,SWAC,-9.81,-6.19,-6.27,-12.47,2009
St. Francis (NY),NEC,-6.66,-6.11,-6.55,-12.66,2009
Savannah State,Ind,-1.16,-15.12,2.17,-12.95,2009
North Carolina A&T,MEAC,-8.37,-5.59,-7.4,-13.0,2009
High Point,Big South,-5.89,-12.86,-0.25,-13.1,2009
Hartford,AEC,-2.93,-9.22,-4.02,-13.24,2009
Colgate,Patriot,-6.12,-14.19,0.93,-13.26,2009
Dartmouth,Ivy,-6.03,-7.87,-5.41,-13.28,2009
Norfolk State,MEAC,-9.49,-1.63,-11.68,-13.31,2009
Georgia Southern,Southern (South),-3.7,-1.63,-11.87,-13.5,2009
Texas-Rio Grande Valley,Ind,-3.01,-9.97,-3.71,-13.68,2009
UNC Wilmington,CAA,-0.66,2.59,-16.41,-13.82,2009
Charleston Southern,Big South,-5.46,-6.67,-7.4,-14.07,2009
Lafayette,Patriot,-6.14,-3.81,-10.26,-14.08,2009
Fordham,A-10,1.08,-6.2,-7.94,-14.14,2009
Delaware State,MEAC,-4.78,-13.02,-1.51,-14.53,2009
Loyola Marymount,WCC,1.8,-11.7,-3.1,-14.79,2009
Monmouth,NEC,-5.91,-9.65,-5.19,-14.84,2009
Arkansas-Pine Bluff,SWAC,-7.48,-9.15,-6.3,-15.45,2009
Saint Francis (PA),NEC,-6.24,-10.9,-4.8,-15.7,2009
UNC Greensboro,Southern (North),-4.33,-9.31,-6.7,-16.01,2009
Furman,Southern (South),-4.62,-11.9,-4.17,-16.07,2009
Texas Southern,SWAC,-7.46,-7.91,-8.65,-16.56,2009
Howard,MEAC,-6.58,-8.86,-7.76,-16.62,2009
Florida A&M,MEAC,-5.72,-8.65,-8.57,-17.22,2009
Fairleigh Dickinson,NEC,-5.18,-5.72,-11.87,-17.59,2009
Southern,SWAC,-11.5,-10.64,-7.0,-17.64,2009
Sacramento State,Big Sky,-2.29,-11.45,-6.33,-17.77,2009
Mississippi Valley State,SWAC,-7.22,-8.35,-10.1,-18.44,2009
Northwestern State,Southland (East),-3.34,-2.26,-16.44,-18.7,2009
Southeast Missouri State,OVC,-3.75,-3.67,-15.05,-18.72,2009
Alabama A&M,SWAC,-11.63,-10.62,-9.1,-19.72,2009
Maryland-Eastern Shore,MEAC,-8.8,-13.53,-9.08,-22.6,2009
Grambling,SWAC,-10.1,-13.82,-9.25,-23.07,2009
Alcorn State,SWAC,-10.26,-4.08,-21.47,-25.55,2009
Duke,ACC,9.21,13.17,12.04,25.21,2010
Kansas,Big 12,8.25,15.06,9.62,24.68,2010
Syracuse,Big East,7.21,14.9,6.82,21.72,2010
Kentucky,SEC (East),6.82,13.3,7.84,21.13,2010
Kansas State,Big 12,10.28,14.47,5.41,19.88,2010
Ohio State,Big Ten,7.37,10.34,9.15,19.49,2010
West Virginia,Big East,10.26,7.6,11.56,19.16,2010
Brigham Young,MWC,3.0,16.12,2.7,18.82,2010
Texas,Big 12,7.38,15.28,3.28,18.56,2010
Baylor,Big 12,8.03,9.58,8.39,17.97,2010
Wisconsin,Big Ten,7.66,2.31,15.54,17.84,2010
Maryland,ACC,7.95,14.63,3.13,17.75,2010
Purdue,Big Ten,8.81,6.09,11.43,17.52,2010
Missouri,Big 12,6.36,11.31,6.08,17.39,2010
California,Pac-10,8.26,13.43,3.86,17.29,2010
Georgetown,Big East,9.56,9.38,7.65,17.03,2010
Villanova,Big East,7.75,16.74,-0.02,16.72,2010
Xavier,A-10,5.94,14.53,1.69,16.23,2010
Tennessee,SEC (East),7.75,7.86,8.19,16.05,2010
Clemson,ACC,7.9,8.25,7.46,15.71,2010
Minnesota,Big Ten,7.32,8.09,7.55,15.64,2010
Washington,Pac-10,7.49,13.31,2.33,15.64,2010
Michigan State,Big Ten,8.17,7.35,7.99,15.33,2010
Texas A&M,Big 12,9.8,5.7,9.54,15.24,2010
Vanderbilt,SEC (East),7.86,11.84,3.4,15.24,2010
Marquette,Big East,8.23,5.9,9.27,15.17,2010
Florida State,ACC,6.79,2.6,12.03,14.64,2010
Butler,Horizon,5.08,2.5,11.87,14.37,2010
Pittsburgh,Big East,7.39,2.66,11.64,14.3,2010
Georgia Tech,ACC,9.02,7.49,6.62,14.11,2010
Louisville,Big East,7.99,10.13,3.95,14.08,2010
Arizona State,Pac-10,5.83,1.61,12.19,13.8,2010
Utah State,WAC,1.23,3.15,10.47,13.62,2010
Mississippi,SEC (West),5.77,11.95,1.51,13.46,2010
Saint Mary's (CA),WCC,2.2,10.03,3.35,13.38,2010
Dayton,A-10,5.61,3.27,9.98,13.25,2010
Notre Dame,Big East,6.22,9.82,3.32,13.14,2010
UTEP,CUSA,1.96,6.96,5.7,12.66,2010
Nevada-Las Vegas,MWC,4.82,5.98,6.59,12.57,2010
Mississippi State,SEC (West),4.6,6.17,6.38,12.55,2010
Connecticut,Big East,9.15,5.63,6.87,12.5,2010
New Mexico,MWC,3.84,9.65,2.84,12.49,2010
Temple,A-10,4.27,-2.6,15.04,12.44,2010
Oklahoma State,Big 12,6.97,7.29,5.05,12.34,2010
Gonzaga,WCC,3.83,9.27,2.84,12.11,2010
Northern Iowa,MVC,4.27,-2.81,14.84,12.03,2010
Florida,SEC (East),7.16,5.81,6.08,11.89,2010
Memphis,CUSA,3.65,7.34,4.4,11.74,2010
Virginia Tech,ACC,5.13,6.0,5.65,11.65,2010
Illinois,Big Ten,9.58,6.47,5.11,11.58,2010
Wake Forest,ACC,8.85,8.21,3.25,11.45,2010
Old Dominion,CAA,1.78,-0.52,11.91,11.39,2010
Miami (FL),ACC,7.01,5.83,5.52,11.35,2010
San Diego State,MWC,4.21,3.49,7.85,11.34,2010
Seton Hall,Big East,5.78,12.97,-2.53,10.43,2010
Alabama,SEC (West),6.62,2.35,7.99,10.34,2010
Virginia Commonwealth,CAA,0.64,9.32,0.91,10.23,2010
North Carolina,ACC,9.83,8.52,1.62,10.14,2010
Michigan,Big Ten,9.37,0.26,9.78,10.04,2010
Richmond,A-10,3.43,0.98,9.06,10.03,2010
Cincinnati,Big East,8.45,3.23,6.75,9.98,2010
Iowa State,Big 12,8.37,6.51,3.09,9.6,2010
Boston College,ACC,7.21,4.42,5.16,9.58,2010
UAB,CUSA,2.9,0.64,8.82,9.46,2010
St. John's (NY),Big East,8.7,1.86,7.37,9.23,2010
Rhode Island,A-10,3.33,8.74,0.43,9.16,2010
Southern California,Pac-10,6.47,-6.28,15.21,8.93,2010
Virginia,ACC,6.93,0.14,8.66,8.8,2010
Cornell,Ivy,-0.91,7.2,1.55,8.76,2010
South Florida,Big East,7.21,1.89,6.83,8.72,2010
Murray State,OVC,-3.89,2.63,6.06,8.69,2010
Siena,MAAC,-1.17,7.63,0.84,8.48,2010
NC State,ACC,7.3,1.34,7.14,8.47,2010
Tulsa,CUSA,2.84,3.57,4.89,8.46,2010
Northwestern,Big Ten,4.99,4.35,3.96,8.32,2010
South Carolina,SEC (East),7.29,6.1,2.15,8.26,2010
Wichita State,MVC,1.73,2.01,6.05,8.06,2010
Arizona,Pac-10,8.1,7.46,0.51,7.97,2010
Texas Tech,Big 12,8.47,10.71,-2.74,7.97,2010
Marshall,CUSA,1.57,9.18,-1.38,7.8,2010
Missouri State,MVC,1.4,4.76,2.81,7.57,2010
Georgia,SEC (East),8.04,3.23,4.1,7.33,2010
Providence,Big East,8.24,16.97,-9.93,7.04,2010
Colorado,Big 12,7.7,8.66,-1.66,7.01,2010
Wright State,Horizon,0.16,-0.82,7.64,6.81,2010
Houston,CUSA,3.48,12.47,-5.73,6.74,2010
Nebraska,Big 12,6.66,0.33,6.26,6.6,2010
Penn State,Big Ten,6.32,0.7,5.88,6.58,2010
Nevada,WAC,2.56,10.4,-3.9,6.5,2010
Northeastern,CAA,2.21,-3.17,9.65,6.48,2010
Portland,WCC,2.04,1.82,4.53,6.35,2010
Oklahoma,Big 12,7.79,5.51,0.73,6.24,2010
Arkansas,SEC (West),5.09,8.28,-2.41,5.87,2010
Illinois State,MVC,1.16,1.61,4.12,5.73,2010
Stanford,Pac-10,6.5,3.68,2.03,5.71,2010
UCLA,Pac-10,7.86,1.71,3.99,5.7,2010
Auburn,SEC (West),4.68,8.33,-2.84,5.49,2010
Saint Louis,A-10,2.55,-4.23,9.69,5.46,2010
Washington State,Pac-10,4.65,5.86,-0.55,5.31,2010
Kent State,MAC (East),0.74,2.97,2.31,5.28,2010
Ohio,MAC (East),-0.03,6.34,-1.78,4.56,2010
Wofford,Southern (South),-2.57,-2.32,6.74,4.43,2010
Utah,MWC,4.16,-0.03,4.32,4.29,2010
Southern Mississippi,CUSA,2.25,-5.49,9.7,4.21,2010
Oregon,Pac-10,5.96,3.68,0.32,4.0,2010
Charlotte,A-10,3.0,4.92,-0.96,3.96,2010
Montana,Big Sky,-2.35,-2.12,6.05,3.93,2010
Oregon State,Pac-10,5.79,-6.03,9.79,3.76,2010
Bradley,MVC,4.11,1.55,2.19,3.74,2010
Sam Houston State,Southland (West),-3.37,8.29,-4.59,3.71,2010
Weber State,Big Sky,-1.04,5.88,-2.17,3.71,2010
Creighton,MVC,3.15,2.9,0.69,3.59,2010
Morehead State,OVC,-3.07,-0.16,3.67,3.51,2010
Southern Illinois,MVC,1.27,3.06,0.38,3.44,2010
George Washington,A-10,0.96,1.48,1.65,3.12,2010
Pacific,Big West,-1.19,-4.98,7.88,2.9,2010
Louisiana Tech,WAC,-0.4,3.38,-0.5,2.89,2010
Akron,MAC (East),-1.5,1.58,1.24,2.82,2010
William & Mary,CAA,1.63,-0.84,3.66,2.82,2010
Southern Methodist,CUSA,3.78,-3.06,5.45,2.39,2010
Western Kentucky,Sun Belt (East),-2.18,1.32,1.0,2.32,2010
Iona,MAAC,-1.85,-3.62,5.93,2.31,2010
Iowa,Big Ten,8.09,-3.48,5.6,2.12,2010
New Mexico State,WAC,1.66,9.3,-7.24,2.06,2010
Northern Colorado,Big Sky,-4.26,2.5,-0.44,2.06,2010
Appalachian State,Southern (North),-2.76,3.45,-1.65,1.8,2010
Hofstra,CAA,-0.02,1.95,-0.3,1.65,2010
IUPUI,Summit,-4.08,2.37,-0.74,1.63,2010
DePaul,Big East,7.58,-4.34,5.95,1.61,2010
Harvard,Ivy,-3.91,4.03,-2.44,1.59,2010
Colorado State,MWC,3.61,-0.28,1.62,1.35,2010
Detroit Mercy,Horizon,-1.59,0.2,1.15,1.35,2010
Belmont,A-Sun,-3.41,2.88,-1.59,1.3,2010
Rutgers,Big East,5.91,1.9,-0.61,1.29,2010
St. Bonaventure,A-10,1.96,1.9,-0.61,1.29,2010
Milwaukee,Horizon,0.52,1.22,0.01,1.23,2010
Indiana State,MVC,2.4,-0.35,1.46,1.11,2010
Louisiana State,SEC (West),5.93,-5.56,6.53,0.97,2010
Duquesne,A-10,1.95,3.96,-3.17,0.79,2010
Indiana,Big Ten,9.37,1.56,-0.79,0.76,2010
Boston University,AEC,-3.23,3.75,-3.18,0.57,2010
Cleveland State,Horizon,2.12,-0.45,1.02,0.57,2010
Miami (OH),MAC (East),1.43,-5.78,6.34,0.56,2010
Drake,MVC,3.34,-0.04,0.58,0.54,2010
Western Michigan,MAC (West),-1.17,1.1,-0.67,0.43,2010
Fairfield,MAAC,-3.33,1.09,-0.69,0.4,2010
Green Bay,Horizon,0.75,0.5,-0.17,0.33,2010
Niagara,MAAC,-2.5,3.41,-3.09,0.32,2010
Fresno State,WAC,1.31,-3.45,3.59,0.14,2010
Princeton,Ivy,-5.56,-11.03,11.01,-0.02,2010
Central Florida,CUSA,2.19,-1.68,1.65,-0.03,2010
Drexel,CAA,0.19,-5.06,5.03,-0.03,2010
UC Santa Barbara,Big West,-1.09,-2.54,2.41,-0.13,2010
Idaho,WAC,0.48,-0.36,0.16,-0.19,2010
TCU,MWC,4.15,-0.25,0.0,-0.25,2010
La Salle,A-10,2.46,2.66,-2.94,-0.28,2010
Cal State Long Beach,Big West,1.55,1.6,-2.02,-0.42,2010
George Mason,CAA,0.06,-1.56,1.12,-0.44,2010
Oakland,Summit,-2.96,4.33,-4.97,-0.64,2010
Coastal Carolina,Big South,-10.14,-4.74,3.96,-0.78,2010
College of Charleston,Southern (South),-2.46,5.83,-6.65,-0.81,2010
East Tennessee State,A-Sun,-1.47,-0.57,-0.27,-0.83,2010
Oral Roberts,Summit,-3.85,-2.03,1.16,-0.88,2010
Boise State,WAC,0.68,3.31,-4.42,-1.11,2010
Morgan State,MEAC,-6.15,4.37,-5.54,-1.18,2010
Western Carolina,Southern (North),-2.91,2.55,-3.78,-1.24,2010
Vermont,AEC,-6.69,-0.66,-0.6,-1.26,2010
Loyola Marymount,WCC,1.32,6.19,-7.66,-1.47,2010
Jacksonville,A-Sun,-2.3,-0.28,-1.43,-1.71,2010
Massachusetts,A-10,3.4,2.22,-3.98,-1.76,2010
Middle Tennessee,Sun Belt (East),-3.33,-4.78,2.79,-1.99,2010
Buffalo,MAC (East),-2.27,3.41,-5.44,-2.03,2010
Texas A&M-Corpus Christi,Southland (West),-2.83,-3.99,1.94,-2.05,2010
San Jose State,WAC,0.83,3.4,-5.46,-2.06,2010
Eastern Kentucky,OVC,-5.16,-1.71,-0.36,-2.07,2010
Lipscomb,A-Sun,-3.07,6.58,-8.65,-2.07,2010
Saint Joseph's,A-10,3.97,2.16,-4.29,-2.13,2010
Davidson,Southern (South),-1.26,0.46,-2.72,-2.26,2010
Stephen F. Austin,Southland (East),-6.9,-9.1,6.68,-2.42,2010
North Texas,Sun Belt (West),-4.72,1.07,-3.56,-2.49,2010
San Diego,WCC,1.98,-6.53,3.94,-2.6,2010
Saint Peter's,MAAC,-4.57,-9.03,6.3,-2.73,2010
Denver,Sun Belt (West),-4.89,-6.5,3.75,-2.76,2010
Cal State Fullerton,Big West,-1.55,3.62,-6.49,-2.87,2010
UTSA,Southland (West),-5.44,-3.31,0.41,-2.9,2010
Valparaiso,Horizon,0.34,4.98,-7.88,-2.9,2010
Troy,Sun Belt (East),-2.31,0.32,-3.36,-3.04,2010
Campbell,A-Sun,-4.96,-5.1,1.97,-3.13,2010
Montana State,Big Sky,-2.45,-3.96,0.78,-3.18,2010
Tulane,CUSA,1.5,-5.23,2.03,-3.2,2010
Lehigh,Patriot,-7.79,3.85,-7.18,-3.33,2010
The Citadel,Southern (South),-2.94,-9.22,5.78,-3.44,2010
Eastern Michigan,MAC (West),-3.59,-3.09,-0.37,-3.46,2010
San Francisco,WCC,2.82,-1.22,-2.26,-3.48,2010
Portland State,Big Sky,-1.21,6.99,-10.48,-3.49,2010
Quinnipiac,NEC,-9.37,-0.11,-3.4,-3.5,2010
Central Michigan,MAC (West),-3.58,-5.17,1.59,-3.58,2010
Stony Brook,AEC,-7.64,-3.11,-0.53,-3.64,2010
Rider,MAAC,-1.68,0.56,-4.27,-3.71,2010
Robert Morris,NEC,-6.15,-2.58,-1.13,-3.71,2010
Georgia State,CAA,-1.48,-6.92,3.17,-3.74,2010
Austin Peay,OVC,-1.68,0.93,-4.78,-3.85,2010
Southeastern Louisiana,Southland (East),-6.21,-0.95,-3.02,-3.97,2010
Arkansas State,Sun Belt (West),-4.39,-2.97,-1.04,-4.01,2010
UNC Wilmington,CAA,0.94,-1.91,-2.44,-4.35,2010
Mount St. Mary's,NEC,-6.28,-5.95,1.57,-4.38,2010
Florida Atlantic,Sun Belt (East),-3.3,1.9,-6.38,-4.48,2010
Wyoming,MWC,3.63,0.48,-5.07,-4.58,2010
Evansville,MVC,1.82,-3.71,-0.9,-4.61,2010
Manhattan,MAAC,-2.97,-4.2,-0.48,-4.68,2010
Bowling Green State,MAC (East),-0.94,-5.91,1.21,-4.7,2010
Louisiana,Sun Belt (West),-4.74,-3.28,-1.46,-4.74,2010
Ball State,MAC (West),-1.48,-8.18,3.33,-4.85,2010
Loyola (IL),Horizon,0.56,-4.55,-0.3,-4.85,2010
Air Force,MWC,3.13,-12.35,7.45,-4.9,2010
Hawaii,WAC,0.33,-2.71,-2.21,-4.91,2010
James Madison,CAA,-1.52,-2.45,-2.51,-4.96,2010
Eastern Illinois,OVC,-5.0,-5.0,0.0,-5.0,2010
Mercer,A-Sun,-1.2,5.31,-10.35,-5.05,2010
Canisius,MAAC,-4.09,-2.68,-2.5,-5.19,2010
Loyola (MD),MAAC,-4.09,-4.39,-0.83,-5.23,2010
Rice,CUSA,1.15,-4.48,-1.24,-5.72,2010
Cal State Northridge,Big West,-1.06,1.66,-7.47,-5.81,2010
Santa Clara,WCC,1.66,-4.64,-1.2,-5.84,2010
East Carolina,CUSA,4.42,0.26,-6.17,-5.91,2010
South Dakota State,Summit,-5.05,1.59,-7.64,-6.05,2010
UC Davis,Big West,-3.01,-2.47,-3.76,-6.23,2010
Youngstown State,Horizon,0.4,-2.31,-4.1,-6.41,2010
Radford,Big South,-6.9,-3.58,-2.85,-6.42,2010
Maine,AEC,-6.26,-8.54,2.01,-6.53,2010
Hampton,MEAC,-8.36,-6.72,-0.03,-6.75,2010
UC Riverside,Big West,-2.61,-9.31,2.32,-6.99,2010
Furman,Southern (South),-4.83,-2.87,-4.15,-7.01,2010
Samford,Southern (North),-2.54,-12.51,5.19,-7.32,2010
Texas State,Southland (West),-3.3,5.87,-13.25,-7.38,2010
UC Irvine,Big West,-3.75,-5.17,-2.32,-7.49,2010
Northern Arizona,Big Sky,-2.35,-2.66,-4.88,-7.54,2010
Illinois-Chicago,Horizon,0.94,-4.72,-2.86,-7.58,2010
Northern Illinois,MAC (West),-2.05,-0.25,-7.38,-7.64,2010
South Alabama,Sun Belt (East),-3.82,-4.93,-2.79,-7.72,2010
Delaware,CAA,1.37,-3.74,-4.12,-7.86,2010
Bucknell,Patriot,-6.84,-5.19,-2.75,-7.94,2010
Lafayette,Patriot,-8.99,0.09,-8.05,-7.96,2010
Cal Poly,Big West,-2.31,0.63,-8.62,-7.99,2010
